,GSM352329.CEL,GSM352330.CEL,GSM352331.CEL
200728_at,4481.40298772578,4620.5322172834,4734.14469351632
200729_s_at,2003.12674859804,2566.30964160704,2809.45264228035
200730_s_at,1194.21354173752,562.291040297287,535.910125880956
200731_s_at,975.399569555475,1022.71249643003,807.018977978964
200732_s_at,1864.73217786814,2220.96537991063,1738.37645828144
200733_s_at,370.389212163203,448.85750291344,502.271738212142
200734_s_at,2807.79876061326,2473.18946299668,2715.89804016685
200735_x_at,13886.9559593171,11095.755940939,9689.46291533865
200736_s_at,12732.6040022498,8824.45025978535,9130.91231874478
200737_at,3579.93524481626,4207.94214833295,3851.11604635754
200738_s_at,9020.11665387317,8490.46110492912,7274.89385898772
200739_s_at,692.722608496456,462.670489984656,401.613446639444
200740_s_at,2104.92605229824,2632.88277408333,2330.48322155398
200741_s_at,13231.0721719259,11565.0947292004,9920.92318859999
200742_s_at,2279.46085870546,1172.66424989163,1456.0228941705
200743_s_at,2585.5892230145,2502.44553402551,2730.68474395515
200744_s_at,3432.93379862667,3101.73093718686,3021.22405436574
200745_s_at,5217.84398457415,5192.51974405832,4852.3787411161
200746_s_at,5547.5918521416,6069.91309805658,5303.23589393245
200747_s_at,570.777834637821,460.352040025481,626.308781855869
200748_s_at,26674.651859432,17979.1168859953,15621.9939902328
200749_at,868.631084097964,1362.83325799655,1286.28328166648
200750_s_at,6366.06773724282,6397.03740797594,5797.98533760257
200751_s_at,1553.9729403295,1625.91775375279,1930.75757930229
200752_s_at,1421.66195886783,993.099967933303,1290.77340935213
200753_x_at,1349.45616428248,1084.98491729151,1277.75152320813
200754_x_at,5324.35355206829,4200.09587321486,3806.46980033896
200755_s_at,2684.35796759567,1919.09663485204,1967.08232493566
200756_x_at,1710.00666943772,944.408633829509,938.33224718152
200757_s_at,5163.62141044555,4868.18254724602,5029.91594951233
200758_s_at,3246.30354759875,2958.70452119282,3256.24318410244
200759_x_at,3714.9291559014,4051.71839156539,4007.69585631275
200760_s_at,3300.46613109542,3639.32965593047,3458.99185711998
200761_s_at,4979.5438847448,5163.33089214327,4606.92495187984
200762_at,4909.76207350191,5242.06018247886,5265.7505058691
200763_s_at,20078.122565974,13797.4306558713,12161.2257233752
200764_s_at,2214.73931546487,2069.60339563964,2237.95132535113
200765_x_at,4078.25755382228,4434.76262485082,3815.89960932229
200766_at,1600.37929093879,1008.91613958854,1353.03859082127
200767_s_at,744.406249638806,596.173564586394,836.946680561214
200768_s_at,2252.37645420314,1959.75882127214,1977.28755428167
200769_s_at,825.535641424625,248.161550564076,582.005358032871
200770_s_at,3151.71868698586,2570.1400694517,2647.61663362798
200771_at,4903.73944740559,5260.10604824127,5172.11187151513
200772_x_at,3869.13404004539,4742.14063858317,4840.38502353014
200773_x_at,3897.65572737543,4119.01960182395,4718.53367040037
200774_at,4420.2839336349,4323.41456404041,4489.06848890277
200775_s_at,5887.04233561531,4463.93524803965,5021.00555901871
200776_s_at,2907.99515749498,3052.94880225595,2716.33775309545
