"","logFC","logCPM","F","PValue","FDR"
"205374_at",-0.42379999181166,5.05716257886409,3.5967087752672,0.0637066509324335,0.17685004394262
"204493_at",0.658742922261767,3.93039322478951,3.59609101448835,0.0637286520171124,0.176875797076876
"220143_x_at",0.507058526916443,4.66217975681149,3.59600254765656,0.0637318033806148,0.176875797076876
"205763_s_at",0.524659869303688,4.63129256584474,3.59527530394262,0.0637577157360584,0.176912405140905
"202883_s_at",-0.448386718031844,5.31913516163115,3.59518672518991,0.0637608726691471,0.176912405140905
"203372_s_at",-0.805694732347089,3.06403346864296,3.59429836025684,0.0637925433679718,0.17697824251351
"203082_at",0.47899288685774,5.23238370837721,3.59398630730449,0.0638036723332108,0.176987082111408
"204288_s_at",1.7445816127795,3.70081087178133,3.59374659092448,0.0638122229582929,0.176988768257361
"202989_at",1.34162008476851,2.8180931245962,3.59161586239738,0.0638882809392526,0.177177668222696
"209165_at",0.637041510218848,5.68372076430673,3.59045897133598,0.0639296188096162,0.177244004365751
"202741_at",-0.401565935726865,6.01625262235151,3.59019632279803,0.0639390078276984,0.177244004365751
"221566_s_at",1.28255842746306,1.93984358074447,3.5900801446825,0.0639431613840326,0.177244004365751
"212672_at",0.51512743750806,5.39413993935638,3.59005618802529,0.0639440179103475,0.177244004365751
"218585_s_at",0.797588570367639,4.10583762734237,3.58974310349369,0.063955212833436,0.177252986015853
"200032_s_at",-0.453857226021812,10.196717079987,3.58912903090113,0.0639771764089225,0.177291807227959
"206414_s_at",0.560502779669543,5.90878068762709,3.58843530283289,0.0640019990082946,0.17733854064932
"221220_s_at",-0.541584487876361,4.12439786310576,3.58669804104659,0.0640642072567709,0.177488838779389
"216534_at",-0.765147781021238,2.9422557408029,3.58621558162539,0.0640814950667824,0.177504876582812
"210295_at",-0.59509342814054,0.974111711194304,3.58609189453687,0.0640859279319986,0.177504876582812
"209580_s_at",0.723611545865497,4.66661501310221,3.58533573717327,0.0641130354582425,0.177525871688936
"218436_at",1.24723863593583,3.56892217217862,3.58527515688117,0.0641152077500791,0.177525871688936
"204708_at",-0.925875165117519,2.38722632328071,3.58521378307363,0.0641174085784032,0.177525871688936
"215687_x_at",-0.671362415247504,4.09286793651308,3.58472174060514,0.0641350559335099,0.177552671309032
"207538_at",-1.07300764444853,1.87478163278097,3.58383248874471,0.0641669629624821,0.17761893611093
"203253_s_at",0.785553074510095,5.53233921492391,3.58316086713651,0.0641910728281025,0.177651478734307
"219815_at",0.464863606956837,5.29759156036991,3.58306084156821,0.0641946643974617,0.177651478734307
"200060_s_at",0.410672158804289,6.07163535661838,3.58234130592381,0.0642205069291104,0.177700925853889
"205283_at",0.730024119422034,4.4989541699221,3.58206293785081,0.0642305077467475,0.177706531427958
"202285_s_at",-0.901698161091495,2.56843962416247,3.58096938514678,0.064269811963243,0.177793199252259
"220742_s_at",-0.311124216860418,5.72127023081895,3.58073760241594,0.0642781460421108,0.177794181759726
"200669_s_at",0.636639918677283,6.2869741314103,3.57963889651807,0.0643176677594835,0.17786991960536
