Name,logFC,logCPM,F,PValue,FDR
HLA-C,0.087551034,7.796810374,0.648628582,0.433827091,0.750303363
ITGB8,0.079587032,5.425510164,0.648131392,0.433999503,0.750315342
ORMDL2,0.078056693,5.837508678,0.647746821,0.434132938,0.750315342
LRP5,0.130995726,5.459708923,0.647642097,0.434169285,0.750315342
GET4,0.08556527,5.264990489,0.647621719,0.434176358,0.750315342
MRPS28,0.106610456,3.938635161,0.647431522,0.434242386,0.750315342
ST6GALNAC6,0.086482625,6.859819708,0.647346423,0.434271934,0.750315342
RP9P,-0.180742029,1.867885965,0.647287514,0.43429239,0.750315342
LTA4H,0.064324579,8.149890657,0.647249162,0.434305708,0.750315342
PSMB2,0.079434141,7.750681115,0.647150862,0.434339848,0.750315342
ANAPC4,-0.14036939,3.695260159,0.64656828,0.434542266,0.750567895
SPDYA,0.756584094,-0.986427579,0.646123581,0.43469688,0.75073782
BAP1,0.088163357,6.439381795,0.645663177,0.434857046,0.750861287
DGCR11,0.172571436,2.162277673,0.64559475,0.434880859,0.750861287
SRD5A1,0.098204397,4.246813362,0.643732948,0.435529574,0.75175962
ZNF540,0.670377219,-1.40662699,0.64337093,0.435655894,0.75175962
S1PR3,0.17199695,2.931614739,0.643110292,0.435746876,0.75175962
KHSRP,-0.070180189,6.863764402,0.642981048,0.435792003,0.75175962
MBD6,0.07752128,5.926480678,0.642919613,0.435813456,0.75175962
