X	Mhex_1.2EC10_24h_run1	Mhex_1.2EC10_24h_run2	Mhex_1.2EC10_24h_run3	Mhex_1.2EC10_24h_run4	Mhex_1.2EC10_24h_run5	DMSO_24h_run1	DMSO_24h_run2	DMSO_24h_run3	DMSO_24h_run4	DMSO_24h_run5	NK_24h_run1	NK_24h_run2	NK_24h_run3	NK_24h_run4	NK_24h_run5
socs1a_85730	8	2	4	5	18	14	8	10	9	0	6	4	7	13	11
gnas_85731	3	3	1	6	2	1	0	4	6	0	9	1	5	2	6
stk10_85732	8	14	5	10	10	16	23	10	11	0	30	15	7	8	3
myo10_85733	0	2	1	1	2	1	2	1	2	0	1	1	5	0	0
pmm2_85734	0	2	0	1	6	0	4	4	0	0	3	0	0	3	0
avpr2l_85735	3	5	0	1	0	2	2	0	3	0	0	3	1	1	3
GLB1L2_85736	4	0	7	4	4	5	4	7	1	0	5	6	10	8	1
eef1g_85737	19816	16295	23292	30719	31462	16425	26252	21904	28081	18	16603	24215	24042	24368	28370
si:dkey-25o16.4_85738	294	249	343	511	505	402	470	295	469	0	271	333	341	447	511
hbae3_85739	7	9	5	12	15	18	13	20	14	0	12	14	19	16	12
dhdds_85740	19	16	13	8	10	42	17	16	14	0	16	24	24	16	13
slc38a3a_85741	0	1	2	0	4	3	5	3	11	0	1	1	7	5	6
lamp1b_85742	117	97	159	148	179	108	126	120	166	0	92	133	149	175	130
stc1_85743	6	4	0	2	2	0	3	0	0	0	1	2	2	4	0
tnfsf10_85744	56	51	66	70	38	46	57	67	49	0	32	51	73	54	48
btr20_85745	35	23	12	20	43	27	31	57	29	0	3	13	22	23	39
cebpb_85746	16	9	12	14	5	38	12	12	13	0	21	11	13	16	9
btr31_85747	1	0	1	1	0	3	0	3	0	0	0	0	2	0	0
slc51a_85748	4	8	4	4	9	15	5	5	8	0	5	2	5	2	8
dmtf1_85749	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
esrp1_85750	3	0	3	3	3	3	2	2	1	0	0	6	6	5	8
gna11a_85751	23	4	5	7	1	20	11	10	3	0	6	11	15	4	2
bida_85752	301	304	304	339	375	265	346	356	368	0	251	368	394	368	333
prss23_85753	21	3	23	11	17	22	23	35	22	0	20	14	39	19	11
ahrra_85754	2	0	3	3	5	2	2	3	1	0	0	2	0	2	1
cyp2aa2_85755	23	25	14	19	11	28	33	11	16	0	29	29	14	22	11
vtg1_85756	0	4	0	1	1	2	3	0	2	0	1	4	1	1	8
amh_85757	4	5	2	0	0	1	5	2	5	0	0	0	2	1	8
hhip_85758	7	2	1	5	4	16	0	2	3	0	8	1	4	1	3
vtnb_85759	146	89	162	62	62	111	94	211	113	1	125	107	151	173	174
adgrg1_85760	175	152	195	219	244	243	224	183	154	0	251	205	253	209	197
rhol_85761	1	2	0	0	0	0	2	3	2	0	2	3	3	0	2
ngfb_85762	1	2	0	1	6	1	2	2	1	0	1	1	1	2	2
ei24_85763	11	8	14	13	6	10	7	11	8	0	7	12	15	14	14
tiam1a_85764	49	38	56	40	56	72	58	63	43	0	73	56	79	45	32
slc6a6a_85765	1	3	0	1	0	1	3	0	1	0	4	7	0	4	3
notch2_85766	62	48	59	66	65	100	56	77	43	0	82	60	93	50	51
htr1b_85767	1	2	1	1	3	0	4	5	2	0	2	0	2	2	5
slc1a3a_85768	2259	2006	2575	1690	2507	1814	2140	2254	1972	1	2581	2100	2474	1653	2381
rrm2b_85769	56	40	39	46	26	42	20	33	43	0	32	29	57	35	32
adgrg3_85770	2	1	0	2	0	3	2	3	2	0	1	1	1	2	0
polb_85771	218	219	308	410	348	202	341	291	417	0	199	290	310	386	380
edem1_85772	101	64	92	75	83	118	81	106	79	0	83	106	82	67	73
si:ch211-241e1.3_85773	1	1	0	2	1	4	3	0	0	0	2	3	1	4	0
rictorb_85774	40	35	41	39	44	113	37	61	34	0	131	25	72	28	30
per2_85775	49	37	41	52	33	119	40	94	42	0	99	47	80	46	28
cox6c_85776	166	258	885	492	381	286	280	835	738	0	199	281	307	651	122
grk1a_85777	4	3	2	3	8	1	5	6	3	0	6	1	2	7	6
eif2b1_85778	60	50	48	47	59	99	45	72	38	0	98	54	67	44	22
slc6a3_85779	2	6	1	1	2	3	2	1	2	0	5	2	2	2	4
xpc_85780	1	2	0	5	0	2	0	6	4	0	1	1	7	3	4
tsta3_85781	279	231	314	298	304	219	271	299	266	0	287	279	327	251	222
pcbd1_85782	1	7	1	0	3	3	1	2	4	0	1	2	5	1	3
p2ry10_85783	0	4	2	0	0	0	1	3	1	0	5	2	1	8	1
iars2_85784	27	37	26	37	33	35	29	23	14	0	38	27	23	18	35
RANBP2_85785	895	745	910	847	798	1488	876	1021	720	0	1179	847	953	720	742
fkbp1aa_85786	3246	2553	3760	3445	3892	5192	3465	3970	3544	5	5527	3662	3826	2944	2847
prkab1a_85787	152	130	207	240	256	191	194	228	240	1	177	216	174	134	230
sesn2_85788	93	44	70	84	112	108	82	63	64	0	61	83	83	77	58
toporsa_85789	94	57	111	123	111	71	117	96	104	0	104	129	107	101	107
pnp5a_85790	11	12	11	13	3	41	16	39	8	0	21	9	11	14	16
drd1a_85791	0	0	2	2	1	2	0	4	2	1	4	1	7	3	1
fgfr2_85792	252	143	161	209	142	302	119	183	148	0	280	158	250	171	81
dlgap4a_85793	7	19	13	20	13	19	19	27	12	0	29	15	22	15	7
